"name","address","lng","lat"
"FQHC165","301 Howard Rd,Westley,Stanislaus","-121.197917290739,","37.544920610904"
"FQHC166","305 E Center St,Visalia,Tulare","-119.338093328271,","36.206239158898"
"FQHC167","3052 Willow Pass Rd,Concord,Contra Costa","-122.020900749607,","37.980852514729"
"FQHC168","3075 Mission Blvd,San Diego,San Diego","-117.250829180104,","32.769330899767"
"FQHC169","30979 Rd 72,Visalia,Tulare","-119.412599744194,","36.352238500425"
"FQHC170","311 Winston St,Los Angeles,Los Angeles","-118.245028495132,","34.045550289776"
"FQHC171","31180 Rd 67,Goshen,Tulare","-119.411658209416,","36.35596105556"
"FQHC172","3124 International Blvd,Oakland,Alameda","-122.226373422503,","37.777980704967"
"FQHC173","3160 E Del Mar Blvd,Pasadena,Los Angeles","-118.08288422068,","34.142169683352"
"FQHC174","3177 Oceanview Blvd,San Diego,San Diego","-117.12571090838,","32.701131943384"
"FQHC175","3200 Senter Rd,San Jose,Santa Clara","-121.833110728963,","37.293411886786"
"FQHC176","325 Posada Ln,Templeton,San Luis Obispo","-120.721354719819,","35.553168558237"
"FQHC177","3260 Kerner Blvd,San Rafael,Marin","-122.501827449719,","37.960595211945"
"FQHC178","329 W 8th St,Hanford,Kings","-119.64959650263,","36.32706241311"
"FQHC179","33025 Rd 159, Ivanhoe, CA 93235","-119.218054117224,","36.389084039141"
"FQHC180","333 Laws Ave,Ukiah,Mendocino","-123.211173546384,","39.128303359092"
"FQHC181","345 Spring St,Paso Robles,San Luis Obispo","-120.690857570217,","35.618831193341"
"FQHC182","3451 E 12th St,Oakland,Alameda","-122.224003130327,","37.775958397065"
"FQHC183","3455 Percy St,Los Angeles,Los Angeles","-118.19863543689,","34.028165169787"
"FQHC184","3505 Lone Tree Way,Antioch,Contra Costa","-121.807233137072,","37.988211512379"
"FQHC185","3544 30th St,San Diego,San Diego","-117.130142221868,","32.743125938609"
"FQHC186","355 Central Ave,Fillmore,Ventura","-118.91370878644,","34.399962381423"
"FQHC187","3554 W Mount Whitney Ave,Riverdale,Fresno","-119.862098626204,","36.430865633722"
"FQHC188","35800 Hwy 190,Springville,Tulare","-118.814774828532,","36.133167893599"
